,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
84867,2022,3,7,29,5,2022/7/29,WN,WN,19393,WN,978,,,,,WN,19393,WN,N7841A,978,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1855,1926,31,31,1,2,1800-1859,9,1935,2336,6,2010,2342,212,212,1,14,2000-2059,0,,1,75,,,1,236,1,,,,,
85145,2022,3,8,11,4,2022/8/11,WN,WN,19393,WN,978,,,,,WN,19393,WN,N922WN,978,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1855,2013,78,78,1,5,1800-1859,39,2052,118,7,2010,125,315,315,1,21,2000-2059,0,,1,75,,,1,236,1,,,,,
85672,2022,3,8,11,4,2022/8/11,AA,AA,19805,AA,1763,,,,,AA,19805,AA,N768US,1763,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1900,1958,58,58,1,3,1900-1959,48,2046,1147,5,2014,1152,938,938,1,62,2000-2059,0,,1,74,,,1,236,1,,,,,
85702,2022,3,8,12,5,2022/8/12,AA,AA,19805,AA,1986,,,,,AA,19805,AA,N123UW,1986,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1320,1329,9,9,0,0,1300-1359,41,1410,1717,7,1435,1724,169,169,1,11,1400-1459,0,,1,75,,,1,236,1,,,,,
86682,2022,3,8,12,5,2022/8/12,DL,DL,19790,DL,2385,,,,,DL,19790,DL,N138DU,2385,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1320,1318,-2,0,0,-1,1300-1359,39,1357,1810,5,1435,1815,220,220,1,14,1400-1459,0,,1,75,,,1,236,1,,,,,
86914,2022,3,8,11,4,2022/8/11,NK,NK,20416,NK,648,,,,,NK,20416,NK,N920NK,648,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,2029,2024,-5,0,0,-1,2000-2059,29,2053,207,6,2148,213,265,265,1,17,2100-2159,0,,1,79,,,1,236,1,,,,,
87196,2022,3,9,21,3,2022/9/21,AS,AS_CODESHARE,19930,AS,3362,,,,,OO,20304,OO,N184SY,3362,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,1000,1005,5,5,0,0,1000-1059,26,1031,1825,12,1114,1837,443,443,1,29,1100-1159,0,,1,74,,,1,236,1,,,,,
87344,2022,3,9,8,4,2022/9/8,UA,UA,19977,UA,2038,,,,,UA,19977,UA,N465UA,2038,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,2100,2056,-4,0,0,-1,2100-2159,23,2119,1258,7,2214,1305,891,891,1,59,2200-2259,0,,1,74,,,1,236,1,,,,,
88155,2022,3,9,8,4,2022/9/8,NK,NK,20416,NK,3913,,,,,NK,20416,NK,N934NK,3913,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,2030,2113,43,43,1,2,2000-2059,27,2140,242,5,2142,247,305,305,1,20,2100-2159,0,,1,72,,,1,236,1,,,,,
88614,2022,3,9,28,3,2022/9/28,WN,WN,19393,WN,6508,,,,,WN,19393,WN,N556WN,6508,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,755,752,-3,0,0,-1,0700-0759,20,812,1219,14,905,1233,208,208,1,13,0900-0959,0,,1,70,,,1,236,1,,,,,
96226,2023,1,2,21,2,2023/2/21,DL,DL,19790,DL,2036,,,,,DL,19790,DL,N926DZ,2036,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1929,2000,31,31,1,2,1900-1959,16,2016,1109,6,2041,1115,874,874,1,58,2000-2059,0,,1,72,,,1,236,1,,,,,
100373,2023,2,4,28,5,2023/4/28,NK,NK,20416,NK,186,,,,,NK,20416,NK,N902NK,186,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,920,1003,43,43,1,2,0900-0959,45,1048,1442,6,1037,1448,251,251,1,16,1000-1059,0,,1,77,,,1,236,1,,,,,
103205,2023,2,5,18,4,2023/5/18,B6,B6,20409,B6,1080,,,,,B6,20409,B6,N821JB,1080,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1825,1837,12,12,0,0,1800-1859,22,1859,12,10,1938,22,284,284,1,18,1900-1959,0,,1,73,,,1,236,1,,,,,
